Table: attendance_records
+----+---------+------------+---------------------+-----------------------------------------------------+----------------------+
| id | user_id | check_type | check_time          | snapshot_path                                       | confidence           |
+----+---------+------------+---------------------+-----------------------------------------------------+----------------------+
| 1  | 1       | check_in   | 2026-04-15 20:21:24 |                                                     | 0.98                 |
| 2  | 2       | check_in   | 2026-04-21 10:37:41 | data/snapshots/20260421/20260421103741-S2026001.jpg | 0.151446283895322    |
| 3  | 2       | check_in   | 2026-04-21 10:38:41 | data/snapshots/20260421/20260421103841-S2026001.jpg | 0.3882320045016572   |
| 4  | 2       | check_in   | 2026-04-21 19:08:13 | data/snapshots/20260421/20260421190813-S2026001.jpg | 0.08122817138069838  |
| 5  | 2       | check_in   | 2026-04-21 19:09:13 | data/snapshots/20260421/20260421190913-S2026001.jpg | 0.05163615681283518  |
| 6  | 2       | check_in   | 2026-04-22 10:10:26 | data/snapshots/20260422/20260422101026-S2026001.jpg | 0.373393498051544    |
| 7  | 2       | check_in   | 2026-04-22 10:23:00 | data/snapshots/20260422/20260422102300-S2026001.jpg | 0.41430950744577655  |
| 8  | 2       | check_in   | 2026-04-22 10:24:00 | data/snapshots/20260422/20260422102400-S2026001.jpg | 0.3577960486898619   |
| 9  | 2       | check_in   | 2026-04-22 10:25:53 | data/snapshots/20260422/20260422102553-S2026001.jpg | 0.4219478608781104   |
| 10 | 2       | check_in   | 2026-04-22 10:48:08 | data/snapshots/20260422/20260422104808-S2026001.jpg | 0.1279961960694037   |
| 11 | 2       | check_in   | 2026-04-22 10:49:09 | data/snapshots/20260422/20260422104909-S2026001.jpg | 0.26196091591905335  |
| 12 | 2       | check_in   | 2026-04-22 10:50:39 | data/snapshots/20260422/20260422105039-S2026001.jpg | 0.03146790879441874  |
| 13 | 2       | check_in   | 2026-04-22 10:52:19 | data/snapshots/20260422/20260422105219-S2026001.jpg | 0.025076484342879235 |
| 14 | 2       | check_in   | 2026-04-22 10:53:23 | data/snapshots/20260422/20260422105323-S2026001.jpg | 0.004397504276908104 |
| 15 | 2       | check_in   | 2026-04-22 10:54:25 | data/snapshots/20260422/20260422105425-S2026001.jpg | 0.4361309922748583   |
| 16 | 2       | check_in   | 2026-04-22 10:58:17 | data/snapshots/20260422/20260422105817-S2026001.jpg | 0.128633782492664    |
| 17 | 2       | check_in   | 2026-04-22 11:02:52 | data/snapshots/20260422/20260422110252-S2026001.jpg | 0.23133560204640813  |
| 18 | 2       | check_in   | 2026-04-22 11:03:56 | data/snapshots/20260422/20260422110356-S2026001.jpg | 0.36538846955135607  |
| 19 | 2       | check_in   | 2026-04-22 20:09:32 | data/snapshots/20260422/20260422200932-S2026001.jpg | 0.1188157783987066   |
| 20 | 2       | check_in   | 2026-04-22 20:10:33 | data/snapshots/20260422/20260422201033-S2026001.jpg | 0.18076391077277842  |
| 21 | 2       | check_in   | 2026-04-22 20:12:52 | data/snapshots/20260422/20260422201252-S2026001.jpg | 0.06641353554018914  |
| 22 | 2       | check_in   | 2026-04-22 20:23:41 | data/snapshots/20260422/20260422202341-S2026001.jpg | 0.01679996549763385  |
+----+---------+------------+---------------------+-----------------------------------------------------+----------------------+
